Title,Year,Rating
BicycleThieves,1948,8.3
Hamilton,2020,8.3
TaxiDriver,1976,8.2
Downfall,2004,8.2
Dangal,2016,8.3
BatmanBegins,2005,8.2
ForaFewDollarsMore,1965,8.2
TheWolfofWallStreet,2013,8.2
GreenBook,2018,8.2
SomeLikeItHot,1959,8.2
TheKid,1921,8.2
JudgmentatNuremberg,1961,8.3
TheFather,2020,8.2
TheTrumanShow,1998,8.2
AllAboutEve,1950,8.2
ShutterIsland,2010,8.2
ThereWillBeBlood,2007,8.2
TopGunMaverick,2022,8.2
JurassicPark,1993,8.2
Casino,1995,8.2
Ran,1985,8.2
TheSixthSense,1999,8.2
PansLabyrinth,2006,8.2
Unforgiven,1992,8.2
NoCountryforOldMen,2007,8.2
TheThing,1982,8.2
ABeautifulMind,2001,8.2
KillBillVol,2003,8.2
TheTreasureoftheSierraMadre,1948,8.2
Yojimbo,1961,8.2
TheGreatEscape,1963,8.2
MontyPythonandtheHolyGrail,1975,8.2
FindingNemo,2003,8.2
Prisoners,2013,8.2
HowlsMovingCastle,2004,8.2
Rashomon,1950,8.2
TheElephantMan,1980,8.2
DialMforMurder,1954,8.2
Chinatown,1974,8.1
GonewiththeWind,1939,8.2
LockStockandTwoSmokingBarrels,1998,8.1
VforVendetta,2005,8.1
TheSecretinTheirEyes,2009,8.2
InsideOut,2015,8.1
RagingBull,1980,8.1
ThreeBillboardsOutsideEbbingMissouri,2017,8.1
Trainspotting,1996,8.1
TheBridgeontheRiverKwai,1957,8.1
Klaus,2019,8.2
CatchMeIfYouCan,2002,8.1
Fargo,1996,8.1
Warrior,2011,8.1
SpiderManNoWayHome,2021,8.2
GranTorino,2008,8.1
HarryPotterandtheDeathlyHallowsPart,2011,8.1
MillionDollarBaby,2004,8.1
MyNeighborTotoro,1988,8.1
MadMaxFuryRoad,2015,8.1
ChildrenofHeaven,1997,8.2
BenHur,1959,8.1
YearsaSlave,2013,8.1
BarryLyndon,1975,8.1
BeforeSunrise,1995,8.1
BladeRunner,1982,8.1
TheGrandBudapestHotel,2014,8.1
HacksawRidge,2016,8.1
GoneGirl,2014,8.1
DeadPoetsSociety,1989,8.1
MemoriesofMurder,2003,8.1
IntheNameoftheFather,1993,8.1
TheGoldRush,1925,8.1
MonstersInc,2001,8.1
Maharaja,2024,8.6
WildTales,2014,8.1
TheDeerHunter,1978,8.1
TheGeneral,1926,8.1
Jaws,1975,8.1
SherlockJr,1924,8.2
OntheWaterfront,1954,8.1
HowtoTrainYourDragon,2010,8.1
Ratatouille,2007,8.1
MaryandMax,2009,8.1
TheThirdMan,1949,8.1
TheWagesofFear,1953,8.1
WildStrawberries,1957,8.1
FordvFerrari,2019,8.1
MrSmithGoestoWashington,1939,8.1
TokyoStory,1953,8.1
Logan,2017,8.1
Rocky,1976,8.1
TheBigLebowski,1998,8.1
TheSeventhSeal,1957,8.1
Room,2015,8.1
Spotlight,2015,8.1
TheTerminator,1984,8.1
HotelRwanda,2004,8.1
Platoon,1986,8.1
Lahaine,1995,8.1
PiratesoftheCaribbeanTheCurseoftheBlackPearl,2003,8.1
BeforeSunset,2004,8.1
JaiBhim,2021,8.7
ThePassionofJoanofArc,1928,8.1
TheBestYearsofOurLives,1946,8.1
TheExorcist,1973,8.1
Rush,2013,8.1
Network,1976,8.1
TheWizardofOz,1939,8.1
TheIncredibles,2004,8.0
StandbyMe,1986,8.1
HachiADogsTale,2009,8.1
TheSoundofMusic,1965,8.1
TheHandmaiden,2016,8.1
MyFatherandMySon,2005,8.2
ToBeorNottoBe,1942,8.1
IntotheWild,2007,8.1
TheBattleofAlgiers,1966,8.1
GroundhogDay,1993,8.0
TheGrapesofWrath,1940,8.1
TheIronGiant,1999,8.1
AmoresPerros,2000,8.0
Rebecca,1940,8.1
CoolHandLuke,1967,8.1
TheHelp,2011,8.1
ItHappenedOneNight,1934,8.1
LaapataaLadies,2023,8.4
Aladdin,1992,8.0
Drishyam,2015,8.2
